id,artist_names,name,genres,acousticness,danceability,duration_ms,energy,speechiness,tempo,valence,
spotify:track:0bYg9bo50gSsH3LtXe2SQn,Mariah Carey,All I Want for Christmas Is You,"pop,urban contemporary,dance pop",0.164,0.336,241107,0.627,0.0384,150.273,0.35,
spotify:track:3MfyQPVkRPwfdPwSgYAtKz,Gustavo Moura & Rafael,Digitando,sertanejo pop,0.603,0.662,195749,0.668,0.0331,107.045,0.635,
spotify:track:6LQQGxRzNLsWQtwgLe5fAm,Pixote,Insegurança - Ao Vivo,"pagode,sertanejo universitario,funk carioca,pagode novo",0.58,0.442,180853,0.806,0.125,149.427,0.591,
spotify:track:66N2SB1lgHPgJXVCjg6GXH,Marília Mendonça,Flor E O Beija-Flor,"sertanejo universitario,sertanejo,arrocha",0.428,0.486,202053,0.457,0.0379,203.853,0.472,
spotify:track:67nepsnrcZkowTxMWigSbb,"Travis Scott, Drake",MELTDOWN (feat. Drake),"canadian pop,slap house,pop rap,rap,hip hop,canadian hip hop",0.012,0.557,246134,0.774,0.351,111.975,0.397,
spotify:track:6Td7nVeAOUz13zhDlUY8jv,"Luan Pereira, Hugo & Guilherme",CHEIRO NA CAMISETA,"agronejo,arrocha,sertanejo universitario,sertanejo pop,sertanejo",0.279,0.577,156432,0.856,0.111,139.383,0.72,
spotify:track:5v1Fjk1RDKGqxwNOzGDewL,"Zé Felipe, Luan Pereira, DENNIS",Então Vai,"agronejo,arrocha,funk carioca,funk das antigas,sertanejo universitario,arrochadeira,sertanejo",0.587,0.759,163436,0.701,0.161,131.764,0.687,
spotify:track:1otGRpxjSNjSg5lmjaviNB,"André e Felipe, Isadora Pompeo",Cuido dos Detalhes,"brazilian gospel,sertanejo gospel",0.759,0.541,213421,0.346,0.0332,113.369,0.314,
spotify:track:0llpifaw5Kle6wQxrdUy5p,"DJ JV DO SG, Mc Rodrigo do CN, DJ WV Oficial, Mc Dudu Sk",Noite Dos Perdidos,"funk mtg,funk mandelao",0.742,0.797,156526,0.459,0.388,86.565,0.58,
spotify:track:2dhy51z7h0oyCvSCWXyRHb,"DJ JOÃO PEREIRA, MC Koringa",DANÇA PRA ME PROVOCAR,"funk das antigas,funk carioca",0.269,0.615,157216,0.582,0.364,84.917,0.892,
spotify:track:2gF0DUT64JEFjqb0PJXj1M,"Zé Felipe, MC Ryan SP",Voltei Pra Cachorrada,"agronejo,arrocha,sertanejo universitario,arrochadeira,funk paulista,sertanejo",0.155,0.664,143052,0.88,0.132,131.992,0.862,
spotify:track:4VI4yOAb7fWrFCnuGBIaeG,MC Cabelinho,Carta Aberta,"trap funk,trap brasileiro,funk consciente",0.774,0.4,262258,0.615,0.0706,171.893,0.268,
spotify:track:4ssTFuVeNJG8py5dr2P2pV,Matheus & Kauan,Não Recomendo - Ao Vivo,"agronejo,arrocha,pop nacional,sertanejo universitario,sertanejo",0.266,0.5,141216,0.857,0.0974,158.074,0.816,
spotify:track:0yL7K9MzC20uBesZTPY81r,"DJ Matt D, Menor MC, MC GP, Vulgo FK",Pandora,"trap brasileiro,funk consciente,funk paulista",0.14,0.688,177000,0.458,0.588,124.553,0.559,
spotify:track:08XvRS5EH8FfD6urhgaPD2,"Tierry, Manoel Gomes",Lá Ele,"sertanejo universitario,arrocha",0.156,0.869,157020,0.592,0.0567,125.09,0.656,
spotify:track:2PVYuRC4zqT4w5k4gsEDVG,Mari Fernandez,Adeus,"agronejo,forro,arrochadeira,arrocha",0.231,0.438,229198,0.825,0.0736,144.045,0.524,
spotify:track:35ILpvFvH8u8dVfjG2txtw,"Pabllo Vittar, Mc Carol",Descontrolada,"funk carioca,rap feminino nacional,pop nacional,pop lgbtq+ brasileira,dance pop,funk pop",0.0469,0.758,162111,0.818,0.209,130.019,0.372,
spotify:track:2UMMy3ZyQmw5fqnmeaVki8,Class A,Nós dois,brazilian hip hop,0.526,0.627,213371,0.604,0.06,177.75,0.664,
spotify:track:4xqrdfXkTW4T0RauPLv3WA,Conan Gray,Heather,"pov: indie,pop,bedroom pop",0.584,0.357,198040,0.425,0.0333,102.078,0.27,
spotify:track:1GOS5OIo4KywJF7Fw9QR4E,NATTAN,A Gente Se Entrega,forro,0.416,0.721,163892,0.936,0.0379,102.015,0.927,
spotify:track:4wjDiZGsZYQqKkXyPcQGF6,"MC K.K, Love Funk, LeoZera",Agudo Mágico 4,funk mandelao,0.0948,0.879,190101,0.651,0.0529,130.066,0.505,
